Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Price,Discount,City
1000,2024-01-07,C0029,P505,3,44364,10.0,Delhi
1001,2024-01-26,C0738,P502,1,58159,0.0,Delhi
1002,2024-02-08,C0887,P505,1,10696,10.0,Bangalore
1003,2024-06-23,C0974,P502,4,3393,10.0,Delhi
1004,2024-12-02,C0748,P503,4,32647,,Hyderabad
1005,2024-03-24,C0570,P505,4,50385,5.0,Hyderabad
1006,2024-11-15,C1009,P503,1,17475,15.0,Mumbai
1007,2024-07-26,C1084,P504,2,50436,0.0,Hyderabad
1008,2024-01-08,C0591,P505,3,47065,5.0,Bangalore
1009,2024-12-14,C0960,P503,4,41952,15.0,Mumbai
1010,2024-02-15,C0527,P503,1,48137,0.0,Chennai
1011,2024-12-05,C0521,P504,2,9508,15.0,Kolkata
1012,2024-04-26,C0386,P506,4,17267,10.0,Hyderabad
1013,2024-03-12,C0274,P501,2,30315,5.0,Chennai
1014,2024-02-01,C0011,P506,1,41988,0.0,Bangalore
1015,2024-09-23,C0214,P506,3,46467,0.0,Pune
1016,2024-02-15,C0592,P504,2,30081,15.0,Bangalore
1017,2024-07-20,C0936,P501,4,57484,5.0,Pune
1018,2024-08-20,C0589,P501,4,57285,5.0,Chennai
1019,2024-06-22,C0122,P502,2,3341,5.0,Kolkata
1020,2024-10-31,C0317,P504,3,50086,0.0,Chennai
1021,2024-12-24,C0223,P501,4,33620,5.0,Bangalore
1022,2024-12-13,C1108,P502,2,25126,10.0,Bangalore
1023,2024-11-09,C0022,P504,2,33962,10.0,Kolkata
1024,2024-07-06,C0874,P501,2,46326,5.0,Chennai
1025,2024-03-27,C0909,P504,1,13912,10.0,Mumbai
1026,2024-02-24,C0750,P503,4,5080,,Kolkata
1027,2024-07-01,C0288,P505,3,24663,5.0,Chennai
1028,2024-07-29,C0662,P502,1,48779,0.0,Delhi
1029,2024-07-20,C0755,P503,3,45800,,Chennai
1030,2024-11-27,C0862,P501,1,49610,5.0,Hyderabad
1031,2024-10-19,C0516,P504,4,26263,15.0,Bangalore
1032,2024-06-25,C0947,P502,4,6863,5.0,Hyderabad
1033,2024-08-15,C0578,P502,3,26317,15.0,Chennai
1034,2024-08-30,C0186,P502,2,21416,15.0,Delhi
1035,2024-01-18,C0021,P505,3,57356,10.0,Mumbai
1036,2024-08-27,C0478,P504,3,11861,15.0,Chennai
1037,2024-01-02,C0375,P506,1,45265,,Pune
1038,2024-11-11,C0381,P506,3,33081,0.0,Bangalore
1039,2024-08-18,C0838,P502,1,26916,15.0,Mumbai
1040,2024-08-16,C0261,P503,3,14060,15.0,Bangalore
1041,2024-10-29,C0287,P505,3,52533,10.0,Chennai
1042,2024-03-20,C0844,P506,2,20116,0.0,Hyderabad
1043,2024-09-20,C0972,P504,1,43620,15.0,Bangalore
1044,2024-04-16,C0687,P501,1,15863,,Pune
1045,2024-04-29,C0156,P501,3,2042,15.0,Delhi
1046,2024-11-29,C0969,P505,3,26192,15.0,Mumbai
1047,2024-01-01,C0119,P505,3,20977,,Hyderabad
1048,2024-11-20,C1185,P503,1,34297,15.0,Mumbai
1049,2024-06-29,C0242,P504,4,38438,10.0,Chennai
1050,2024-08-04,C1063,P502,3,56803,10.0,Mumbai
1051,2024-10-20,C0151,P504,4,38825,,Bangalore
1052,2024-08-21,C0892,P502,3,56627,5.0,Hyderabad
1053,2024-09-20,C0669,P501,4,13969,,Kolkata
1054,2024-06-23,C0311,P506,3,15877,10.0,Mumbai
1055,2024-04-23,C1169,P506,2,36787,0.0,Bangalore
1056,2024-11-23,C0345,P503,2,30959,0.0,Pune
1057,2024-10-13,C1077,P503,4,13680,0.0,Mumbai
1058,2024-08-07,C1010,P506,4,41201,0.0,Pune
1059,2024-03-29,C0688,P501,1,27508,,Hyderabad
1060,2024-11-19,C1126,P501,2,1967,10.0,Chennai
1061,2024-03-22,C0397,P502,1,48706,10.0,Hyderabad
1062,2024-05-08,C0822,P503,3,26500,,Kolkata
1063,2024-03-16,C0711,P501,3,9408,10.0,Bangalore
1064,2024-10-31,C0736,P505,1,31310,15.0,Chennai
1065,2024-09-23,C0867,P502,4,56569,5.0,Mumbai
1066,2024-09-21,C1027,P506,1,28741,5.0,Chennai
1067,2024-04-26,C1178,P504,1,33079,,Mumbai
1068,2024-10-26,C0783,P505,3,25819,5.0,Bangalore
1069,2024-01-21,C0407,P503,3,42274,,Bangalore
1070,2024-10-18,C0715,P501,3,45114,15.0,Hyderabad
1071,2024-10-01,C0964,P505,4,58016,15.0,Chennai
1072,2024-06-05,C0751,P503,4,31310,5.0,Bangalore
1073,2024-05-25,C0002,P506,1,43896,15.0,Mumbai
1074,2024-12-15,C1132,P501,2,30034,,Kolkata
1075,2024-10-24,C0952,P501,4,54655,15.0,Chennai
1076,2024-06-20,C0559,P506,3,22968,,Chennai
1077,2024-01-26,C0521,P504,3,16693,5.0,Pune
1078,2024-06-18,C0584,P505,4,54267,0.0,Mumbai
1079,2024-10-19,C0050,P503,4,56126,15.0,Bangalore
1080,2024-12-10,C0146,P502,3,16335,5.0,Pune
1081,2024-03-09,C0687,P502,1,49934,15.0,Mumbai
1082,2024-04-28,C0661,P501,1,41921,,Kolkata
1083,2024-06-08,C0650,P503,1,27513,,Hyderabad
1084,2024-09-10,C0921,P501,2,18027,10.0,Kolkata
1085,2024-05-25,C0637,P505,3,32796,10.0,Kolkata
1086,2024-10-28,C1126,P504,2,31307,,Chennai
1087,2024-08-19,C0353,P504,4,14510,0.0,Pune
1088,2024-03-10,C0425,P503,3,50159,,Pune
1089,2024-05-09,C0956,P504,1,2775,10.0,Hyderabad
1090,2024-07-18,C0067,P506,2,41047,,Mumbai
1091,2024-12-07,C1154,P503,3,54743,5.0,Chennai
1092,2024-10-17,C0354,P501,3,47177,15.0,Chennai
1093,2024-02-05,C0453,P504,1,48904,0.0,Kolkata
1094,2024-06-06,C0633,P502,3,3383,0.0,Bangalore
1095,2024-01-03,C0237,P504,3,37511,10.0,Chennai
1096,2024-12-25,C0364,P505,1,32676,,Bangalore
1097,2024-08-18,C0800,P506,1,50464,15.0,Chennai
1098,2024-08-13,C0509,P504,2,16463,0.0,Kolkata
1099,2024-08-24,C0361,P502,1,35885,10.0,Pune
1100,2024-11-26,C0835,P501,4,42985,5.0,Bangalore
1101,2024-11-06,C0262,P502,3,25281,10.0,Kolkata
1102,2024-11-11,C1125,P506,4,37175,0.0,Mumbai
1103,2024-03-22,C1182,P506,4,45333,10.0,Kolkata
1104,2024-01-14,C0073,P504,3,46784,10.0,Mumbai
1105,2024-05-09,C0931,P503,2,7673,15.0,Mumbai
1106,2024-01-25,C0793,P502,1,30284,15.0,Kolkata
1107,2024-11-16,C1134,P506,4,37985,,Bangalore
1108,2024-01-25,C1141,P503,2,48819,,Mumbai
1109,2024-01-25,C1103,P504,4,40408,15.0,Bangalore
1110,2024-05-20,C0543,P504,2,28479,5.0,Hyderabad
1111,2024-06-08,C0043,P504,2,38247,10.0,Kolkata
1112,2024-01-05,C0778,P503,1,54189,10.0,Mumbai
1113,2024-02-25,C0457,P505,3,59774,0.0,Delhi
1114,2024-11-24,C1180,P505,2,28441,10.0,Kolkata
